Index,A,B,C,D,Label,Rank
114,True,False,True,True,True,0.899
115,False,True,True,True,True,0.659
116,False,False,False,False,False,0.095
117,False,True,True,True,True,0.791
118,True,True,True,True,True,0.828
119,True,False,False,True,False,0.528
120,True,True,True,True,True,0.917
121,True,True,True,False,False,0.437
122,True,False,True,True,True,0.801
123,True,False,True,False,False,0.529
124,False,False,True,False,False,0.261
125,True,True,True,False,False,0.533
126,True,True,False,True,True,0.695
127,True,True,True,True,True,0.891
128,True,False,True,False,False,0.439
129,True,True,True,False,False,0.456
130,True,True,True,True,True,0.918
131,True,True,False,True,False,0.547
132,True,False,True,False,False,0.551
133,False,True,False,False,False,0.322
134,False,False,False,True,False,0.516
135,True,False,False,True,True,0.667
136,False,False,False,True,False,0.339
137,False,False,True,True,True,0.618
138,True,False,True,True,True,0.785
139,False,True,False,True,False,0.527
140,True,False,False,False,False,0.166
141,False,False,False,False,False,0.125
142,False,False,False,True,False,0.488
143,False,False,True,False,False,0.253
144,False,False,True,True,True,0.772
145,True,True,False,True,False,0.567
146,False,False,False,True,False,0.509
147,False,False,False,False,False,0.006
148,True,True,True,True,True,0.972
149,True,False,True,True,True,0.676
150,True,False,True,True,True,0.883
151,False,True,False,False,False,0.305
152,False,True,False,False,False,0.108
153,False,True,False,False,False,0.166
154,True,False,True,True,True,0.748
155,True,True,True,True,True,0.904
156,False,True,False,True,False,0.44
157,False,True,False,True,False,0.575
158,False,False,False,False,False,0.164
159,False,False,False,True,False,0.357
160,True,False,True,True,True,0.764
161,False,False,True,False,False,0.311
162,True,True,False,True,False,0.565
163,False,True,False,True,False,0.544
164,True,True,True,True,True,0.879
165,False,False,True,True,False,0.583
166,False,False,True,False,False,0.318
167,True,True,True,True,True,0.907
168,False,True,False,False,False,0.312
169,False,True,False,False,False,0.291
170,False,False,False,False,False,0.059
171,False,False,False,False,False,0.22
172,True,True,True,True,True,0.842
173,False,True,True,False,False,0.514
174,True,True,True,True,True,0.874
175,True,True,True,True,True,0.784
176,True,False,True,True,True,0.697
177,True,False,True,True,True,0.738
178,False,False,True,True,True,0.727
179,True,True,False,True,True,0.637
180,False,True,False,True,False,0.562
181,True,True,True,False,False,0.553
182,True,False,False,True,True,0.692
183,True,False,False,True,False,0.532
184,False,False,False,True,False,0.52
185,False,False,True,True,True,0.613
186,False,False,False,False,False,0.05
187,False,False,False,True,False,0.506
188,False,False,False,False,False,0.088
189,False,False,True,True,False,0.592
190,True,False,True,True,True,0.701
191,True,False,True,True,True,0.746
192,True,True,True,True,True,0.896
193,True,False,True,True,True,0.853
194,True,False,True,True,True,0.84
195,True,True,True,True,True,0.903
196,False,True,False,False,False,0.141
197,True,False,True,False,False,0.531
198,False,False,True,True,True,0.76
199,True,False,False,True,True,0.608
200,False,False,False,False,False,0.099
201,True,False,True,True,True,0.751
202,True,True,True,False,False,0.587
203,False,False,False,True,False,0.479
204,True,False,True,True,True,0.764
205,False,False,False,True,False,0.477
206,True,False,False,False,False,0.342
207,False,False,False,True,False,0.521
208,True,False,True,False,False,0.455
209,False,True,True,True,True,0.729
210,True,True,True,True,True,0.958
211,False,False,False,True,False,0.469
212,False,True,True,True,True,0.694
213,True,True,False,False,False,0.434
214,False,True,False,True,False,0.579
215,True,False,False,True,True,0.691
216,True,True,False,True,True,0.743
217,True,True,True,True,True,0.835
218,True,False,True,True,True,0.814
219,True,False,True,False,False,0.455
220,True,False,False,True,False,0.578
221,False,True,False,False,False,0.261
222,True,False,True,False,False,0.402
223,False,True,True,False,False,0.345
224,True,False,True,True,True,0.84
225,True,True,True,True,True,0.778
226,True,True,False,True,True,0.705
227,False,False,False,False,False,0.118
228,False,False,False,False,False,0.114
229,False,True,False,True,False,0.533
230,True,True,True,True,True,0.781
231,True,True,False,True,True,0.743
232,True,True,False,True,True,0.706
233,True,True,True,True,True,0.803
234,False,True,True,True,True,0.693
235,False,True,False,False,False,0.309
236,False,False,True,False,False,0.302
237,False,True,False,True,False,0.596
238,False,True,False,True,True,0.619
239,False,True,True,True,True,0.77
240,True,False,False,True,False,0.577
241,False,False,False,True,False,0.467
242,False,True,False,True,False,0.43
243,True,False,False,True,True,0.681
244,False,False,False,True,False,0.432
245,True,True,True,True,True,0.801
246,True,True,False,True,False,0.552
247,True,False,False,True,True,0.679
248,True,False,True,True,True,0.797
249,True,True,False,True,False,0.596
250,False,False,False,True,False,0.368
251,False,True,False,True,False,0.569
252,False,False,False,False,False,0.124
253,False,False,False,False,False,0.239
254,False,True,False,True,False,0.403
255,False,True,True,True,True,0.832
256,False,False,True,True,True,0.692
257,True,False,True,True,True,0.783
258,True,False,True,True,True,0.711
259,True,False,True,False,False,0.502
260,True,True,False,True,True,0.763
261,True,True,True,False,True,0.6
262,False,False,True,False,False,0.452
263,True,False,True,True,True,0.71
264,False,True,False,False,False,0.11
265,True,False,True,False,False,0.518
266,False,False,False,True,False,0.363
267,False,False,False,False,False,0.102
268,False,False,False,False,False,0.032
269,False,False,False,True,False,0.418
270,True,True,False,True,True,0.64
271,True,True,True,True,True,0.793
272,True,False,False,False,False,0.148
273,True,False,True,True,True,0.739
274,False,False,False,False,False,0.223
275,False,False,True,False,False,0.328
276,False,False,False,True,False,0.47
277,True,False,True,False,False,0.396
278,True,False,True,False,False,0.599
279,True,True,True,True,True,0.973
280,False,False,True,True,True,0.759
281,True,False,False,False,False,0.148
282,True,True,False,True,True,0.622
283,False,False,False,True,False,0.356
284,True,True,True,True,True,0.839
285,False,True,True,True,True,0.642
286,False,False,False,False,False,0.187
287,True,False,True,True,True,0.768
288,True,True,True,True,True,0.786
289,False,True,False,False,False,0.189
290,True,True,True,True,True,0.978
291,True,False,True,True,True,0.857
292,True,False,False,True,True,0.653
293,False,False,False,True,False,0.332
294,False,False,True,False,False,0.452
295,True,False,False,True,False,0.466
296,True,True,False,True,True,0.643
297,True,True,False,True,False,0.582
298,True,True,True,True,True,0.949
299,True,True,True,True,True,0.911
300,True,False,False,True,False,0.487
301,False,False,False,False,False,0.138
302,True,False,False,False,False,0.188
303,True,True,False,True,True,0.663
304,True,False,True,True,True,0.786
305,True,False,True,False,False,0.449
306,True,False,True,True,True,0.817
307,True,True,False,True,True,0.637
308,True,True,True,True,True,0.784
309,False,True,False,False,False,0.171
310,True,True,True,True,True,0.818
311,False,True,True,True,True,0.805
312,False,False,False,True,False,0.374
313,True,True,False,True,True,0.752
314,True,False,False,False,False,0.161
315,True,False,True,True,True,0.803
316,True,True,True,True,True,0.799
317,True,False,True,False,False,0.598
318,True,False,True,True,True,0.844
319,False,True,True,True,True,0.855
320,True,True,False,True,True,0.608
321,True,False,True,False,False,0.523
322,True,False,True,True,True,0.838
323,False,False,True,False,False,0.437
324,False,True,False,False,False,0.307
325,False,False,False,False,False,0.007
326,True,False,True,False,False,0.518
327,True,False,False,True,False,0.477
328,True,True,False,False,False,0.419
329,False,False,False,False,False,0.133
330,True,False,False,True,True,0.642
331,False,False,False,False,False,0.225
332,True,False,True,True,True,0.781
333,True,False,False,True,False,0.471
334,False,True,False,False,False,0.278
335,False,False,False,True,False,0.557
336,False,False,False,True,False,0.463
337,True,False,False,True,False,0.543
338,True,False,True,False,False,0.506
339,True,False,True,True,True,0.864
340,False,False,True,False,False,0.402
341,False,False,False,False,False,0.141
342,True,False,True,True,True,0.833
343,True,False,True,True,True,0.88
344,True,False,True,True,True,0.887
345,True,True,True,True,True,0.773
346,False,True,False,False,False,0.151
347,False,False,True,False,False,0.304
348,False,False,False,False,False,0.197
349,True,True,False,True,True,0.733
350,False,False,False,False,False,0.201
351,True,True,True,True,True,0.91
352,True,False,True,True,True,0.856
353,False,True,False,False,False,0.255
354,True,False,True,False,False,0.48
355,False,False,False,True,False,0.455
356,False,False,True,True,False,0.587
357,False,True,False,True,False,0.581
358,True,False,False,True,True,0.659
359,True,False,True,True,True,0.691
360,False,False,True,True,True,0.665
361,False,False,True,False,False,0.322
362,True,False,True,True,True,0.773
363,True,True,False,True,False,0.554
364,True,False,True,True,True,0.816
365,False,True,True,True,True,0.795
366,True,True,True,True,True,0.82
367,False,True,True,False,False,0.32
368,True,True,False,True,False,0.564
369,True,True,True,True,True,0.919
370,False,False,True,False,False,0.356
371,False,False,False,False,False,0.151
372,False,False,True,False,False,0.445
373,False,False,False,True,False,0.501
374,True,True,False,True,True,0.706
375,True,True,True,True,True,0.929
376,True,True,True,True,True,0.947
377,True,True,False,True,True,0.618
378,False,False,True,False,False,0.288
379,True,True,True,True,True,0.752
380,True,True,True,True,True,0.969
381,False,True,True,False,False,0.469
382,False,False,True,False,False,0.406
383,False,False,False,False,False,0.083
384,False,True,False,False,False,0.102
385,True,False,True,True,True,0.739
386,True,True,True,True,True,0.874
387,False,True,False,True,False,0.514
388,False,False,False,True,False,0.461
389,True,False,False,True,True,0.612
390,False,False,True,False,False,0.32
391,False,True,True,False,False,0.509
392,True,False,True,True,True,0.814
393,False,False,False,False,False,0.073
394,False,True,False,False,False,0.203
395,False,False,True,True,True,0.618
396,True,True,True,True,True,0.91
397,True,True,False,True,True,0.678
398,False,True,False,False,False,0.201
399,True,False,True,False,False,0.499
400,True,False,True,True,True,0.691
401,False,False,True,True,True,0.687
402,True,False,False,True,False,0.591
403,True,False,True,True,True,0.877
404,True,False,False,True,False,0.453
405,False,False,True,True,True,0.729
406,False,True,False,True,False,0.457
407,True,False,True,True,True,0.726
408,False,False,True,False,False,0.248
409,False,False,True,False,False,0.374
410,True,False,True,True,True,0.901
411,False,False,False,False,False,0.045
412,False,True,False,False,False,0.31
413,False,True,True,True,True,0.831
414,True,True,False,True,True,0.622
415,False,True,False,True,False,0.58
416,True,True,False,True,True,0.602
417,False,False,False,False,False,0.071
418,True,False,False,True,True,0.676
419,True,False,False,False,False,0.31
420,False,False,False,True,False,0.36
421,False,False,True,False,False,0.353
422,True,True,True,True,True,0.801
423,True,True,False,True,False,0.566
424,True,True,False,True,False,0.557
425,False,False,False,True,False,0.347
426,False,False,True,True,True,0.629
427,False,False,False,False,False,0.021
428,False,False,False,False,False,0.151
429,True,False,True,True,True,0.863
430,True,True,False,True,True,0.709
431,True,False,True,False,False,0.571
432,False,False,True,True,True,0.734
433,False,False,True,False,False,0.434
434,False,False,False,False,False,0.226
435,False,False,False,True,False,0.552
436,False,False,True,False,False,0.415
437,True,True,False,True,True,0.673
438,False,False,False,True,False,0.525
439,False,False,True,False,False,0.352
440,True,False,False,True,False,0.477
441,False,False,False,True,False,0.34
442,True,True,True,True,True,0.837
443,False,True,False,False,False,0.294
444,True,True,False,True,False,0.56
445,False,False,False,False,False,0.163
446,True,True,True,True,True,0.902
447,True,False,False,True,True,0.631
448,False,False,True,False,False,0.237
449,True,False,False,False,False,0.175
450,True,True,True,True,True,0.924
451,True,True,True,True,True,0.906
452,True,False,True,True,True,0.859
453,True,False,True,False,False,0.455
454,False,False,True,False,False,0.416
455,False,False,True,False,False,0.415
456,True,True,True,True,True,0.942
457,False,True,True,True,True,0.84
458,False,True,False,False,False,0.307
459,True,True,True,True,True,0.924
460,True,False,False,True,False,0.455
461,True,True,True,True,True,0.77
462,False,True,True,False,False,0.437
463,True,False,True,True,True,0.713
464,False,False,False,False,False,0.205
465,True,False,True,False,False,0.417
466,False,False,True,True,True,0.666
467,False,False,False,False,False,0.147
468,False,True,False,True,True,0.607
469,True,False,False,True,False,0.503
470,False,False,False,False,False,0.14
471,False,False,True,False,False,0.464
472,False,False,False,True,False,0.452
473,False,True,False,True,True,0.613
474,False,False,False,True,False,0.544
475,False,True,False,True,True,0.64
476,True,False,True,True,True,0.73
477,False,False,True,False,False,0.455
478,False,True,True,True,True,0.747
479,False,False,True,False,False,0.275
480,False,False,False,True,False,0.513
481,False,True,True,False,False,0.483
482,False,False,False,False,False,0.176
483,False,True,True,False,False,0.532
484,False,True,False,True,False,0.521
485,False,True,True,True,True,0.694
486,False,True,True,False,False,0.509
487,True,False,True,True,True,0.917
488,False,False,False,False,False,0.246
489,True,True,False,True,False,0.587
490,False,False,True,False,False,0.418
491,False,True,True,False,False,0.401
492,False,False,False,False,False,0.173
493,True,False,False,False,False,0.355
494,False,True,True,False,False,0.344
495,True,True,False,True,False,0.598
496,True,False,True,True,True,0.701
497,True,True,True,True,True,0.864
498,False,False,False,False,False,0.246
499,True,False,True,True,True,0.869
500,False,False,False,False,False,0.204
501,False,False,False,False,False,0.2
502,False,True,False,False,False,0.127
503,False,False,True,False,False,0.231
504,False,True,False,True,False,0.514
505,False,True,False,False,False,0.148
506,False,False,False,False,False,0.145
507,False,True,False,True,False,0.433
508,True,False,True,True,True,0.715
509,True,True,True,True,True,0.757
510,False,False,False,False,False,0.059
511,True,True,False,True,True,0.669
512,False,False,True,True,True,0.733
513,True,False,True,True,True,0.86
514,True,False,False,True,True,0.62
515,False,False,False,False,False,0.008
516,False,True,True,False,False,0.392
517,True,True,True,True,True,0.94
518,True,False,True,True,True,0.915
519,False,True,True,False,False,0.52
520,False,True,False,True,False,0.555
521,True,False,False,False,False,0.361
522,False,True,True,False,False,0.342
523,True,False,True,True,True,0.746
524,True,False,True,True,True,0.764
525,False,False,False,False,False,0.062
526,True,True,True,False,False,0.563
527,False,True,True,True,True,0.644
528,True,True,True,True,True,0.981
529,True,True,False,True,True,0.75
530,True,False,False,True,False,0.522
531,False,False,True,False,False,0.474
532,False,False,True,False,False,0.244
533,False,True,False,True,False,0.493
534,True,True,True,True,True,0.852
535,True,False,False,False,False,0.157
536,False,True,True,True,True,0.718
537,True,True,True,True,True,0.793
538,True,False,True,True,True,0.732
539,False,True,False,False,False,0.208
540,False,False,False,False,False,0.186
541,True,True,True,False,False,0.44
542,False,True,True,True,True,0.785
543,True,False,False,True,False,0.542
544,False,False,False,False,False,0.031
545,False,False,False,False,False,0.159
546,True,False,False,False,False,0.221
547,True,False,False,True,False,0.51
548,True,True,False,True,False,0.592
549,True,True,False,True,True,0.749
550,False,True,True,False,False,0.407
551,True,True,False,True,True,0.724
552,True,True,True,True,True,0.85
553,True,True,True,True,True,0.895
554,False,True,False,True,False,0.559
555,True,False,True,True,True,0.913
556,True,False,True,True,True,0.861
557,False,False,True,True,False,0.553
558,False,True,True,False,False,0.345
559,True,True,False,True,True,0.634
560,True,False,True,True,True,0.814
561,False,False,False,True,False,0.486
562,False,False,False,False,False,0.056
563,True,False,False,False,False,0.182
564,False,True,True,True,True,0.709
565,False,False,False,False,False,0.22
566,True,True,True,True,True,0.883
567,True,False,False,False,False,0.144
568,True,False,True,True,True,0.691
569,True,True,True,True,True,0.928
570,True,False,False,True,False,0.487
571,False,False,True,False,False,0.324
572,False,True,False,False,False,0.136
573,True,False,True,True,True,0.726
574,True,False,True,True,True,0.79
575,False,False,False,False,False,0.176
576,False,True,True,False,False,0.343
577,True,False,True,True,True,0.856
578,True,True,True,False,False,0.499
579,False,False,False,False,False,0.093
580,True,False,True,False,False,0.397
581,True,True,True,False,False,0.469
582,False,True,False,True,False,0.53
583,False,True,False,True,False,0.402
584,False,False,False,False,False,0.059
585,False,False,False,False,False,0.118
586,True,True,True,True,True,0.834
587,True,True,True,True,True,0.985
588,False,True,True,False,False,0.386
589,True,False,True,True,True,0.775
590,False,True,True,True,True,0.713
591,False,False,False,False,False,0.146
592,True,False,True,True,True,0.839
593,True,False,True,True,True,0.916
594,False,True,False,False,False,0.24
595,True,False,False,True,False,0.558
596,True,False,False,True,False,0.55
597,False,True,False,False,False,0.297
598,True,False,False,True,False,0.528
599,False,True,True,True,True,0.647
600,True,False,True,False,False,0.57
601,False,True,False,True,False,0.486
602,True,True,True,True,True,0.81
603,False,False,False,False,False,0.219
604,True,False,False,False,False,0.242
605,True,False,True,False,False,0.511
606,True,False,True,True,True,0.703
607,True,True,False,True,True,0.725
608,False,True,True,False,False,0.446
609,False,True,True,True,True,0.778
610,False,False,False,True,False,0.376
611,True,True,False,True,True,0.706
612,False,False,True,False,False,0.297
613,True,True,True,True,True,0.999
614,True,True,True,True,True,0.822
615,True,False,False,False,False,0.224
616,False,False,False,False,False,0.222
617,True,False,False,True,True,0.614
618,False,True,False,False,False,0.239
619,True,True,False,True,False,0.535
620,True,True,False,False,False,0.29
621,True,False,True,True,True,0.802
622,True,True,True,True,True,0.972
623,False,False,False,True,False,0.388
624,False,True,True,True,True,0.744
625,True,False,False,True,False,0.586
626,True,True,True,True,True,0.976
627,True,False,False,True,True,0.628
628,False,False,True,True,True,0.618
629,False,True,False,False,False,0.139
630,False,False,True,True,False,0.591
631,True,True,False,True,False,0.526
632,False,False,False,True,False,0.558
633,False,True,False,False,False,0.241
634,True,True,True,True,True,0.789
635,False,False,True,False,False,0.472
636,False,True,True,False,False,0.376
637,False,False,False,False,False,0.18
638,False,True,True,False,False,0.516
639,False,True,False,False,False,0.282
640,False,True,False,False,False,0.174
641,True,True,False,True,True,0.706
642,False,True,False,True,False,0.552
643,False,False,False,True,False,0.523
644,True,True,True,True,True,0.872
645,False,True,False,False,False,0.3
646,True,True,False,True,True,0.748
647,True,True,True,True,True,0.776
648,False,False,False,True,False,0.454
649,False,True,False,True,False,0.463
650,True,True,True,True,True,0.836
651,False,False,False,True,False,0.533
652,False,True,False,False,False,0.081
653,False,False,True,False,False,0.344
654,False,True,True,False,False,0.48
655,False,True,False,True,True,0.628
656,False,True,True,True,True,0.807
657,True,True,True,True,True,0.963
658,False,True,False,True,False,0.419
659,False,True,True,True,True,0.643
660,True,False,True,True,True,0.902
661,True,True,True,True,True,0.889
662,True,True,False,True,True,0.617
663,True,True,True,True,True,0.9
664,True,True,False,True,True,0.697
665,True,True,True,True,True,0.991
666,False,False,False,False,False,0.154
667,True,False,True,True,True,0.756
668,False,False,False,False,False,0.205
669,True,True,True,False,True,0.652
670,False,True,True,False,False,0.53
671,False,False,False,False,False,0.158
672,True,True,False,True,True,0.634
673,False,False,False,True,False,0.331
674,True,False,True,True,True,0.89
675,False,False,False,False,False,0.119
676,False,True,False,False,False,0.159
677,True,True,False,True,True,0.625
678,False,False,True,True,True,0.716
679,True,False,False,False,False,0.34
680,True,False,True,True,True,0.784
681,True,True,False,True,True,0.681
682,False,True,True,True,True,0.784
683,False,True,False,True,False,0.529
684,True,False,True,True,True,0.784
685,False,False,False,True,False,0.405
686,True,False,False,True,False,0.594
687,True,True,False,False,False,0.385
688,True,True,False,True,True,0.707
689,False,False,True,False,False,0.292
690,True,True,False,True,False,0.554
691,False,False,False,False,False,0.02
692,False,False,False,True,False,0.454
693,False,False,False,True,False,0.554
694,True,False,False,True,True,0.691
695,True,True,False,True,True,0.728
696,True,False,True,True,True,0.83
697,False,False,False,False,False,0.107
698,False,True,False,True,False,0.58
699,False,False,False,True,False,0.395
700,True,False,True,True,True,0.883
701,True,False,True,True,True,0.742
702,False,False,False,True,False,0.502
703,True,False,False,True,False,0.455
704,False,True,True,False,False,0.402
705,False,False,False,False,False,0.101
706,True,False,False,True,True,0.614
707,True,False,True,False,False,0.389
708,True,False,True,True,True,0.835
709,True,False,False,True,True,0.676
710,True,False,True,False,False,0.388
711,False,True,False,True,False,0.595
712,False,True,False,True,False,0.433
713,False,True,True,False,False,0.489
714,False,False,True,False,False,0.466
715,False,False,False,True,False,0.512
716,False,False,True,True,False,0.581
717,False,False,True,True,True,0.642
718,False,True,True,True,True,0.792
719,True,True,True,True,True,0.881
720,False,False,False,False,False,0.111
721,False,False,False,True,False,0.393
722,True,True,True,True,True,0.874
723,True,False,True,True,True,0.8
724,False,True,False,True,False,0.575
725,False,False,False,False,False,0.202
726,False,False,False,False,False,0.089
727,False,True,True,False,False,0.537
728,False,False,True,False,False,0.439
729,True,True,True,True,True,0.882
730,True,False,True,True,True,0.756
731,True,False,True,True,True,0.803
732,True,True,True,True,True,0.754
733,True,False,True,False,False,0.443
734,False,False,True,False,False,0.395
735,True,True,True,True,True,0.897
736,False,True,False,False,False,0.324
737,False,False,True,True,False,0.582
738,True,False,False,False,False,0.15
739,True,False,False,True,True,0.641
740,False,False,True,True,True,0.682
741,True,False,False,True,False,0.502
742,True,True,False,True,False,0.549
743,False,True,False,False,False,0.307
744,False,True,False,False,False,0.157
745,True,False,True,False,False,0.532
746,False,True,False,True,True,0.63
747,False,True,False,False,False,0.214
748,False,False,False,False,False,0.073
749,True,False,False,True,False,0.517
750,True,False,True,True,True,0.85
751,False,False,False,False,False,0.216
752,False,True,True,True,True,0.669
753,False,False,False,False,False,0.212
754,True,True,True,True,True,0.864
755,True,False,True,False,False,0.518
756,False,True,True,True,True,0.784
757,True,False,True,True,True,0.682
758,True,True,False,False,False,0.418
759,False,False,False,True,False,0.402
760,False,False,False,True,False,0.534
761,True,True,True,False,True,0.626
762,False,True,True,True,True,0.803
763,True,False,False,True,False,0.515
764,True,False,True,True,True,0.802
765,True,False,False,True,False,0.576
766,True,False,True,True,True,0.726
767,False,True,True,True,True,0.866
768,True,False,False,True,False,0.513
769,True,True,True,True,True,0.786
770,False,True,False,False,False,0.124
771,True,False,True,False,False,0.447
772,True,False,True,True,True,0.748
773,True,False,True,True,True,0.7
774,False,False,True,False,False,0.391
775,True,True,False,True,False,0.53
776,False,False,False,False,False,0.08
777,True,False,False,False,False,0.293
778,False,False,True,False,False,0.298
779,True,False,True,False,False,0.505
780,False,True,False,True,True,0.639
781,True,False,False,False,False,0.256
782,True,False,True,True,True,0.865
783,True,False,False,False,False,0.199
784,True,False,True,True,True,0.777
785,False,False,False,True,False,0.396
786,False,False,True,False,False,0.253
787,False,True,True,False,False,0.5
788,True,False,True,True,True,0.81
789,False,False,False,True,False,0.461
790,False,True,True,False,False,0.476
791,True,False,True,False,False,0.377
792,False,True,False,False,False,0.232
793,False,False,False,False,False,0.033
794,True,False,True,False,False,0.587
795,False,False,True,True,True,0.737
796,True,False,False,True,True,0.635
797,False,True,False,False,False,0.306
798,False,False,False,True,False,0.436
799,True,False,False,False,False,0.259
800,True,True,True,True,True,0.843
801,True,False,False,False,False,0.27
802,True,False,True,True,True,0.738
803,True,True,True,True,True,0.986
804,False,False,False,True,False,0.375
805,False,True,False,False,False,0.122
806,True,True,True,False,False,0.45
807,True,False,True,False,False,0.492
808,False,False,False,False,False,0.078
809,True,True,True,True,True,0.778
810,True,False,True,True,True,0.738
811,True,False,True,True,True,0.725
812,False,False,True,False,False,0.37
813,False,False,False,True,False,0.326
814,False,False,True,True,True,0.776
815,True,False,True,True,True,0.754
816,False,True,False,False,False,0.308
817,True,True,False,True,False,0.561
818,False,False,False,False,False,0.226
819,True,False,True,True,True,0.811
820,True,False,True,True,True,0.706
821,True,True,False,True,False,0.556
822,False,False,False,True,False,0.33
823,True,False,False,True,True,0.677
824,False,True,False,False,False,0.113
825,True,False,True,True,True,0.727
826,False,True,False,False,False,0.27
827,False,True,True,True,True,0.71
828,False,False,True,False,False,0.335
829,False,True,True,True,True,0.631
830,False,False,True,False,False,0.327
831,True,False,True,False,False,0.517
832,True,False,True,True,True,0.917
833,False,True,True,True,True,0.703
834,True,False,False,True,False,0.551
835,True,False,False,True,False,0.588
836,False,False,True,False,False,0.474
837,True,False,True,False,False,0.411
838,False,False,True,False,False,0.233
839,False,True,True,True,True,0.751
840,True,False,False,True,False,0.52
841,True,True,False,True,True,0.635
842,True,False,False,True,True,0.628
843,False,True,False,True,False,0.473
844,True,True,True,True,True,0.983
845,False,False,True,False,False,0.358
846,True,False,True,True,True,0.772
847,True,False,False,False,False,0.35
848,False,False,True,False,False,0.362
849,True,False,False,True,False,0.496
850,True,False,True,False,False,0.478
851,False,True,False,False,False,0.173
852,True,True,False,False,False,0.288
853,True,False,False,True,False,0.51
854,True,False,True,True,True,0.681
855,True,True,False,True,True,0.66
856,False,True,False,False,False,0.184
857,True,True,True,True,True,0.874
858,True,False,True,True,True,0.843
859,False,False,True,False,False,0.353
860,True,False,True,False,False,0.43
861,True,True,True,True,True,0.941
862,False,False,False,True,False,0.54
863,True,False,True,False,False,0.543
864,True,False,True,True,True,0.916
865,False,True,True,False,False,0.454
866,False,False,False,False,False,0.238
867,False,False,True,False,False,0.295
868,False,True,False,True,False,0.464
869,True,True,True,False,False,0.589
870,True,True,False,True,True,0.673
871,True,False,True,True,True,0.809
872,False,True,True,True,True,0.736
