Index,A,B,C,D,Label,Rank
111,True,False,True,True,True,0.862
112,False,False,False,False,False,0.139
113,True,True,False,False,False,0.35700000000000004
114,True,False,True,True,True,0.899
115,False,True,True,True,True,0.659
116,False,False,False,False,False,0.095
117,False,True,True,True,True,0.7909999999999999
118,True,True,True,True,True,0.828
119,True,False,False,True,False,0.528
120,True,True,True,True,True,0.917
121,True,True,True,False,False,0.43700000000000006
122,True,False,True,True,True,0.8009999999999999
123,True,False,True,False,False,0.529
124,False,False,True,False,False,0.261
125,True,True,True,False,False,0.5329999999999999
126,True,True,False,True,True,0.695
127,True,True,True,True,True,0.8909999999999999
128,True,False,True,False,False,0.439
129,True,True,True,False,False,0.456
130,True,True,True,True,True,0.9179999999999999
131,True,True,False,True,False,0.547
132,True,False,True,False,False,0.551
133,False,True,False,False,False,0.322
134,False,False,False,True,False,0.516
135,True,False,False,True,True,0.667
136,False,False,False,True,False,0.33899999999999997
137,False,False,True,True,True,0.618
138,True,False,True,True,True,0.785
139,False,True,False,True,False,0.527
140,True,False,False,False,False,0.166
141,False,False,False,False,False,0.125
142,False,False,False,True,False,0.488
143,False,False,True,False,False,0.253
144,False,False,True,True,True,0.772
145,True,True,False,True,False,0.5670000000000001
146,False,False,False,True,False,0.509
147,False,False,False,False,False,0.006
149,True,False,True,True,True,0.6759999999999999
150,True,False,True,True,True,0.883
151,False,True,False,False,False,0.305
152,False,True,False,False,False,0.10800000000000001
153,False,True,False,False,False,0.166
154,True,False,True,True,True,0.748
155,True,True,True,True,True,0.904
157,False,True,False,True,False,0.575
158,False,False,False,False,False,0.16399999999999998
159,False,False,False,True,False,0.35700000000000004
160,True,False,True,True,True,0.764
161,False,False,True,False,False,0.311
163,False,True,False,True,False,0.544
165,False,False,True,True,False,0.583
166,False,False,True,False,False,0.318
167,True,True,True,True,True,0.907
168,False,True,False,False,False,0.312
169,False,True,False,False,False,0.29100000000000004
170,False,False,False,False,False,0.059000000000000004
171,False,False,False,False,False,0.22
172,True,True,True,True,True,0.8420000000000001
173,False,True,True,False,False,0.514
174,True,True,True,True,True,0.8740000000000001
176,True,False,True,True,True,0.6970000000000001
177,True,False,True,True,True,0.738
180,False,True,False,True,False,0.562
181,True,True,True,False,False,0.5529999999999999
182,True,False,False,True,True,0.6920000000000001
183,True,False,False,True,False,0.532
184,False,False,False,True,False,0.52
185,False,False,True,True,True,0.613
186,False,False,False,False,False,0.05
187,False,False,False,True,False,0.506
188,False,False,False,False,False,0.08800000000000001
190,True,False,True,True,True,0.701
191,True,False,True,True,True,0.746
192,True,True,True,True,True,0.8959999999999999
193,True,False,True,True,True,0.853
194,True,False,True,True,True,0.84
195,True,True,True,True,True,0.903
196,False,True,False,False,False,0.141
197,True,False,True,False,False,0.531
199,True,False,False,True,True,0.608
200,False,False,False,False,False,0.099
201,True,False,True,True,True,0.7509999999999999
202,True,True,True,False,False,0.5870000000000001
203,False,False,False,True,False,0.479
204,True,False,True,True,True,0.764
205,False,False,False,True,False,0.47700000000000004
206,True,False,False,False,False,0.342
207,False,False,False,True,False,0.521
208,True,False,True,False,False,0.455
209,False,True,True,True,True,0.7290000000000001
210,True,True,True,True,True,0.958
211,False,False,False,True,False,0.469
212,False,True,True,True,True,0.6940000000000001
214,False,True,False,True,False,0.579
215,True,False,False,True,True,0.691
216,True,True,False,True,True,0.743
217,True,True,True,True,True,0.835
218,True,False,True,True,True,0.8140000000000001
219,True,False,True,False,False,0.455
220,True,False,False,True,False,0.578
221,False,True,False,False,False,0.261
222,True,False,True,False,False,0.402
223,False,True,True,False,False,0.345
224,True,False,True,True,True,0.84
225,True,True,True,True,True,0.778
226,True,True,False,True,True,0.705
227,False,False,False,False,False,0.11800000000000001
228,False,False,False,False,False,0.114
229,False,True,False,True,False,0.5329999999999999
230,True,True,True,True,True,0.7809999999999999
231,True,True,False,True,True,0.743
232,True,True,False,True,True,0.706
233,True,True,True,True,True,0.8029999999999999
234,False,True,True,True,True,0.693
235,False,True,False,False,False,0.309
238,False,True,False,True,True,0.619
239,False,True,True,True,True,0.77
240,True,False,False,True,False,0.5770000000000001
241,False,False,False,True,False,0.467
242,False,True,False,True,False,0.43
243,True,False,False,True,True,0.6809999999999999
244,False,False,False,True,False,0.43200000000000005
245,True,True,True,True,True,0.8009999999999999
246,True,True,False,True,False,0.552
247,True,False,False,True,True,0.679
248,True,False,True,True,True,0.797
249,True,True,False,True,False,0.596
251,False,True,False,True,False,0.569
252,False,False,False,False,False,0.124
253,False,False,False,False,False,0.239
254,False,True,False,True,False,0.40299999999999997
255,False,True,True,True,True,0.8320000000000001
256,False,False,True,True,True,0.6920000000000001
257,True,False,True,True,True,0.7829999999999999
258,True,False,True,True,True,0.711
259,True,False,True,False,False,0.502
261,True,True,True,False,True,0.6
262,False,False,True,False,False,0.452
263,True,False,True,True,True,0.71
264,False,True,False,False,False,0.11
265,True,False,True,False,False,0.518
266,False,False,False,True,False,0.363
267,False,False,False,False,False,0.102
268,False,False,False,False,False,0.032
270,True,True,False,True,True,0.64
271,True,True,True,True,True,0.7929999999999999
272,True,False,False,False,False,0.14800000000000002
273,True,False,True,True,True,0.7390000000000001
274,False,False,False,False,False,0.223
275,False,False,True,False,False,0.32799999999999996
276,False,False,False,True,False,0.47
278,True,False,True,False,False,0.599
279,True,True,True,True,True,0.973
280,False,False,True,True,True,0.759
282,True,True,False,True,True,0.622
283,False,False,False,True,False,0.35600000000000004
284,True,True,True,True,True,0.8390000000000001
285,False,True,True,True,True,0.642
286,False,False,False,False,False,0.187
287,True,False,True,True,True,0.768
288,True,True,True,True,True,0.7859999999999999
289,False,True,False,False,False,0.18899999999999997
290,True,True,True,True,True,0.978
292,True,False,False,True,True,0.653
293,False,False,False,True,False,0.332
294,False,False,True,False,False,0.452
296,True,True,False,True,True,0.643
297,True,True,False,True,False,0.5820000000000001
298,True,True,True,True,True,0.9490000000000001
299,True,True,True,True,True,0.9109999999999999
300,True,False,False,True,False,0.48700000000000004
301,False,False,False,False,False,0.138
302,True,False,False,False,False,0.188
303,True,True,False,True,True,0.6629999999999999
304,True,False,True,True,True,0.7859999999999999
305,True,False,True,False,False,0.449
307,True,True,False,True,True,0.637
308,True,True,True,True,True,0.784
309,False,True,False,False,False,0.171
310,True,True,True,True,True,0.818
311,False,True,True,True,True,0.805
312,False,False,False,True,False,0.374
313,True,True,False,True,True,0.752
314,True,False,False,False,False,0.161
315,True,False,True,True,True,0.8029999999999999
317,True,False,True,False,False,0.598
318,True,False,True,True,True,0.8440000000000001
320,True,True,False,True,True,0.608
321,True,False,True,False,False,0.523
322,True,False,True,True,True,0.838
323,False,False,True,False,False,0.43700000000000006
324,False,True,False,False,False,0.307
325,False,False,False,False,False,0.006999999999999999
326,True,False,True,False,False,0.518
327,True,False,False,True,False,0.47700000000000004
328,True,True,False,False,False,0.419
330,True,False,False,True,True,0.642
331,False,False,False,False,False,0.225
332,True,False,True,True,True,0.7809999999999999
333,True,False,False,True,False,0.47100000000000003
335,False,False,False,True,False,0.557
336,False,False,False,True,False,0.46299999999999997
337,True,False,False,True,False,0.5429999999999999
338,True,False,True,False,False,0.506
339,True,False,True,True,True,0.8640000000000001
340,False,False,True,False,False,0.402
341,False,False,False,False,False,0.141
342,True,False,True,True,True,0.833
343,True,False,True,True,True,0.88
344,True,False,True,True,True,0.887
345,True,True,True,True,True,0.773
346,False,True,False,False,False,0.151
347,False,False,True,False,False,0.304
348,False,False,False,False,False,0.19699999999999998
349,True,True,False,True,True,0.733
350,False,False,False,False,False,0.201
351,True,True,True,True,True,0.91
352,True,False,True,True,True,0.856
353,False,True,False,False,False,0.255
354,True,False,True,False,False,0.48
355,False,False,False,True,False,0.455
357,False,True,False,True,False,0.581
359,True,False,True,True,True,0.691
360,False,False,True,True,True,0.665
361,False,False,True,False,False,0.322
362,True,False,True,True,True,0.773
363,True,True,False,True,False,0.5539999999999999
364,True,False,True,True,True,0.816
365,False,True,True,True,True,0.795
366,True,True,True,True,True,0.82
367,False,True,True,False,False,0.32
368,True,True,False,True,False,0.564
369,True,True,True,True,True,0.919
370,False,False,True,False,False,0.35600000000000004
371,False,False,False,False,False,0.151
372,False,False,True,False,False,0.445
373,False,False,False,True,False,0.501
374,True,True,False,True,True,0.706
375,True,True,True,True,True,0.929
377,True,True,False,True,True,0.618
378,False,False,True,False,False,0.28800000000000003
379,True,True,True,True,True,0.752
380,True,True,True,True,True,0.9690000000000001
381,False,True,True,False,False,0.469
382,False,False,True,False,False,0.406
383,False,False,False,False,False,0.083
384,False,True,False,False,False,0.102
385,True,False,True,True,True,0.7390000000000001
386,True,True,True,True,True,0.8740000000000001
387,False,True,False,True,False,0.514
389,True,False,False,True,True,0.612
390,False,False,True,False,False,0.32
391,False,True,True,False,False,0.509
392,True,False,True,True,True,0.8140000000000001
393,False,False,False,False,False,0.073
394,False,True,False,False,False,0.203
395,False,False,True,True,True,0.618
396,True,True,True,True,True,0.91
397,True,True,False,True,True,0.6779999999999999
398,False,True,False,False,False,0.201
400,True,False,True,True,True,0.691
402,True,False,False,True,False,0.591
403,True,False,True,True,True,0.877
404,True,False,False,True,False,0.45299999999999996
405,False,False,True,True,True,0.7290000000000001
406,False,True,False,True,False,0.457
407,True,False,True,True,True,0.726
408,False,False,True,False,False,0.248
409,False,False,True,False,False,0.374
410,True,False,True,True,True,0.9009999999999999
411,False,False,False,False,False,0.045
412,False,True,False,False,False,0.31
414,True,True,False,True,True,0.622
416,True,True,False,True,True,0.602
417,False,False,False,False,False,0.071
418,True,False,False,True,True,0.6759999999999999
419,True,False,False,False,False,0.31
420,False,False,False,True,False,0.36
421,False,False,True,False,False,0.353
422,True,True,True,True,True,0.8009999999999999
423,True,True,False,True,False,0.5660000000000001
424,True,True,False,True,False,0.557
425,False,False,False,True,False,0.34700000000000003
426,False,False,True,True,True,0.629
427,False,False,False,False,False,0.021
428,False,False,False,False,False,0.151
429,True,False,True,True,True,0.863
430,True,True,False,True,True,0.7090000000000001
431,True,False,True,False,False,0.5710000000000001
432,False,False,True,True,True,0.7340000000000001
433,False,False,True,False,False,0.434
435,False,False,False,True,False,0.552
436,False,False,True,False,False,0.415
437,True,True,False,True,True,0.6729999999999999
438,False,False,False,True,False,0.525
439,False,False,True,False,False,0.35200000000000004
440,True,False,False,True,False,0.47700000000000004
441,False,False,False,True,False,0.34
442,True,True,True,True,True,0.8370000000000001
443,False,True,False,False,False,0.294
444,True,True,False,True,False,0.56
445,False,False,False,False,False,0.163
447,True,False,False,True,True,0.631
448,False,False,True,False,False,0.237
449,True,False,False,False,False,0.175
450,True,True,True,True,True,0.924
451,True,True,True,True,True,0.9059999999999999
452,True,False,True,True,True,0.8590000000000001
453,True,False,True,False,False,0.455
454,False,False,True,False,False,0.41600000000000004
455,False,False,True,False,False,0.415
456,True,True,True,True,True,0.9420000000000001
457,False,True,True,True,True,0.84
458,False,True,False,False,False,0.307
459,True,True,True,True,True,0.924
460,True,False,False,True,False,0.455
461,True,True,True,True,True,0.77
462,False,True,True,False,False,0.43700000000000006
463,True,False,True,True,True,0.713
464,False,False,False,False,False,0.205
465,True,False,True,False,False,0.41700000000000004
466,False,False,True,True,True,0.6659999999999999
468,False,True,False,True,True,0.607
469,True,False,False,True,False,0.503
470,False,False,False,False,False,0.14
471,False,False,True,False,False,0.46399999999999997
472,False,False,False,True,False,0.452
474,False,False,False,True,False,0.544
475,False,True,False,True,True,0.64
476,True,False,True,True,True,0.73
477,False,False,True,False,False,0.455
478,False,True,True,True,True,0.747
479,False,False,True,False,False,0.275
480,False,False,False,True,False,0.513
481,False,True,True,False,False,0.483
483,False,True,True,False,False,0.532
484,False,True,False,True,False,0.521
485,False,True,True,True,True,0.6940000000000001
486,False,True,True,False,False,0.509
487,True,False,True,True,True,0.917
488,False,False,False,False,False,0.24600000000000002
489,True,True,False,True,False,0.5870000000000001
490,False,False,True,False,False,0.418
491,False,True,True,False,False,0.401
492,False,False,False,False,False,0.17300000000000001
493,True,False,False,False,False,0.355
494,False,True,True,False,False,0.344
496,True,False,True,True,True,0.701
497,True,True,True,True,True,0.8640000000000001
498,False,False,False,False,False,0.24600000000000002
499,True,False,True,True,True,0.8690000000000001
500,False,False,False,False,False,0.204
501,False,False,False,False,False,0.2
502,False,True,False,False,False,0.127
503,False,False,True,False,False,0.231
504,False,True,False,True,False,0.514
505,False,True,False,False,False,0.14800000000000002
506,False,False,False,False,False,0.145
507,False,True,False,True,False,0.433
508,True,False,True,True,True,0.715
509,True,True,True,True,True,0.757
510,False,False,False,False,False,0.059000000000000004
511,True,True,False,True,True,0.669
512,False,False,True,True,True,0.733
514,True,False,False,True,True,0.62
515,False,False,False,False,False,0.008
516,False,True,True,False,False,0.392
517,True,True,True,True,True,0.94
518,True,False,True,True,True,0.915
520,False,True,False,True,False,0.555
521,True,False,False,False,False,0.361
522,False,True,True,False,False,0.342
523,True,False,True,True,True,0.746
524,True,False,True,True,True,0.764
525,False,False,False,False,False,0.062
526,True,True,True,False,False,0.563
527,False,True,True,True,True,0.644
528,True,True,True,True,True,0.981
529,True,True,False,True,True,0.75
530,True,False,False,True,False,0.522
531,False,False,True,False,False,0.474
532,False,False,True,False,False,0.244
533,False,True,False,True,False,0.493
534,True,True,True,True,True,0.852
535,True,False,False,False,False,0.157
536,False,True,True,True,True,0.718
537,True,True,True,True,True,0.7929999999999999
538,True,False,True,True,True,0.732
539,False,True,False,False,False,0.20800000000000002
540,False,False,False,False,False,0.18600000000000003
541,True,True,True,False,False,0.44
542,False,True,True,True,True,0.785
543,True,False,False,True,False,0.542
544,False,False,False,False,False,0.031
545,False,False,False,False,False,0.159
546,True,False,False,False,False,0.221
547,True,False,False,True,False,0.51
548,True,True,False,True,False,0.5920000000000001
549,True,True,False,True,True,0.7490000000000001
550,False,True,True,False,False,0.40700000000000003
551,True,True,False,True,True,0.7240000000000001
552,True,True,True,True,True,0.85
554,False,True,False,True,False,0.5589999999999999
555,True,False,True,True,True,0.9129999999999999
556,True,False,True,True,True,0.861
557,False,False,True,True,False,0.5529999999999999
559,True,True,False,True,True,0.634
560,True,False,True,True,True,0.8140000000000001
561,False,False,False,True,False,0.486
562,False,False,False,False,False,0.055999999999999994
563,True,False,False,False,False,0.182
564,False,True,True,True,True,0.7090000000000001
565,False,False,False,False,False,0.22
566,True,True,True,True,True,0.883
568,True,False,True,True,True,0.691
569,True,True,True,True,True,0.9279999999999999
570,True,False,False,True,False,0.48700000000000004
571,False,False,True,False,False,0.324
572,False,True,False,False,False,0.136
573,True,False,True,True,True,0.726
574,True,False,True,True,True,0.79
575,False,False,False,False,False,0.17600000000000002
576,False,True,True,False,False,0.34299999999999997
577,True,False,True,True,True,0.856
578,True,True,True,False,False,0.499
579,False,False,False,False,False,0.09300000000000001
580,True,False,True,False,False,0.397
581,True,True,True,False,False,0.469
582,False,True,False,True,False,0.53
583,False,True,False,True,False,0.402
584,False,False,False,False,False,0.059000000000000004
585,False,False,False,False,False,0.11800000000000001
586,True,True,True,True,True,0.8340000000000001
587,True,True,True,True,True,0.985
588,False,True,True,False,False,0.386
589,True,False,True,True,True,0.775
590,False,True,True,True,True,0.713
591,False,False,False,False,False,0.146
592,True,False,True,True,True,0.8390000000000001
593,True,False,True,True,True,0.9159999999999999
594,False,True,False,False,False,0.24
595,True,False,False,True,False,0.5579999999999999
596,True,False,False,True,False,0.55
597,False,True,False,False,False,0.297
598,True,False,False,True,False,0.528
599,False,True,True,True,True,0.647
600,True,False,True,False,False,0.57
601,False,True,False,True,False,0.486
602,True,True,True,True,True,0.81
603,False,False,False,False,False,0.21899999999999997
604,True,False,False,False,False,0.242
606,True,False,True,True,True,0.703
607,True,True,False,True,True,0.725
608,False,True,True,False,False,0.446
609,False,True,True,True,True,0.778
610,False,False,False,True,False,0.376
611,True,True,False,True,True,0.706
612,False,False,True,False,False,0.297
613,True,True,True,True,True,0.9990000000000001
614,True,True,True,True,True,0.8220000000000001
615,True,False,False,False,False,0.22399999999999998
617,True,False,False,True,True,0.614
618,False,True,False,False,False,0.239
619,True,True,False,True,False,0.535
620,True,True,False,False,False,0.29
621,True,False,True,True,True,0.802
622,True,True,True,True,True,0.972
623,False,False,False,True,False,0.38799999999999996
625,True,False,False,True,False,0.586
627,True,False,False,True,True,0.628
628,False,False,True,True,True,0.618
630,False,False,True,True,False,0.591
632,False,False,False,True,False,0.5579999999999999
633,False,True,False,False,False,0.24100000000000002
634,True,True,True,True,True,0.789
635,False,False,True,False,False,0.47200000000000003
636,False,True,True,False,False,0.376
637,False,False,False,False,False,0.18
638,False,True,True,False,False,0.516
639,False,True,False,False,False,0.282
640,False,True,False,False,False,0.174
642,False,True,False,True,False,0.552
643,False,False,False,True,False,0.523
644,True,True,True,True,True,0.872
645,False,True,False,False,False,0.3
646,True,True,False,True,True,0.748
647,True,True,True,True,True,0.7759999999999999
648,False,False,False,True,False,0.45399999999999996
649,False,True,False,True,False,0.46299999999999997
650,True,True,True,True,True,0.836
651,False,False,False,True,False,0.5329999999999999
652,False,True,False,False,False,0.081
653,False,False,True,False,False,0.344
654,False,True,True,False,False,0.48
655,False,True,False,True,True,0.628
656,False,True,True,True,True,0.807
657,True,True,True,True,True,0.963
658,False,True,False,True,False,0.419
659,False,True,True,True,True,0.643
660,True,False,True,True,True,0.902
662,True,True,False,True,True,0.617
663,True,True,True,True,True,0.9
664,True,True,False,True,True,0.6970000000000001
665,True,True,True,True,True,0.991
666,False,False,False,False,False,0.154
667,True,False,True,True,True,0.7559999999999999
668,False,False,False,False,False,0.205
670,False,True,True,False,False,0.53
672,True,True,False,True,True,0.634
673,False,False,False,True,False,0.331
674,True,False,True,True,True,0.89
675,False,False,False,False,False,0.11900000000000001
677,True,True,False,True,True,0.625
678,False,False,True,True,True,0.716
679,True,False,False,False,False,0.34
680,True,False,True,True,True,0.784
681,True,True,False,True,True,0.6809999999999999
682,False,True,True,True,True,0.784
683,False,True,False,True,False,0.529
684,True,False,True,True,True,0.784
686,True,False,False,True,False,0.594
687,True,True,False,False,False,0.385
688,True,True,False,True,True,0.7070000000000001
689,False,False,True,False,False,0.292
690,True,True,False,True,False,0.5539999999999999
691,False,False,False,False,False,0.02
693,False,False,False,True,False,0.5539999999999999
694,True,False,False,True,True,0.691
695,True,True,False,True,True,0.728
696,True,False,True,True,True,0.83
698,False,True,False,True,False,0.58
699,False,False,False,True,False,0.395
700,True,False,True,True,True,0.883
701,True,False,True,True,True,0.742
702,False,False,False,True,False,0.502
703,True,False,False,True,False,0.455
704,False,True,True,False,False,0.402
706,True,False,False,True,True,0.614
707,True,False,True,False,False,0.389
708,True,False,True,True,True,0.835
709,True,False,False,True,True,0.6759999999999999
711,False,True,False,True,False,0.595
712,False,True,False,True,False,0.433
713,False,True,True,False,False,0.489
714,False,False,True,False,False,0.466
716,False,False,True,True,False,0.581
717,False,False,True,True,True,0.642
718,False,True,True,True,True,0.792
719,True,True,True,True,True,0.8809999999999999
720,False,False,False,False,False,0.111
721,False,False,False,True,False,0.39299999999999996
722,True,True,True,True,True,0.8740000000000001
724,False,True,False,True,False,0.575
725,False,False,False,False,False,0.20199999999999999
727,False,True,True,False,False,0.537
728,False,False,True,False,False,0.439
729,True,True,True,True,True,0.882
730,True,False,True,True,True,0.7559999999999999
731,True,False,True,True,True,0.8029999999999999
732,True,True,True,True,True,0.754
733,True,False,True,False,False,0.44299999999999995
734,False,False,True,False,False,0.395
737,False,False,True,True,False,0.5820000000000001
739,True,False,False,True,True,0.6409999999999999
740,False,False,True,True,True,0.682
741,True,False,False,True,False,0.502
742,True,True,False,True,False,0.5489999999999999
743,False,True,False,False,False,0.307
744,False,True,False,False,False,0.157
745,True,False,True,False,False,0.532
746,False,True,False,True,True,0.63
747,False,True,False,False,False,0.214
748,False,False,False,False,False,0.073
749,True,False,False,True,False,0.517
750,True,False,True,True,True,0.85
751,False,False,False,False,False,0.21600000000000003
752,False,True,True,True,True,0.669
753,False,False,False,False,False,0.212
754,True,True,True,True,True,0.8640000000000001
755,True,False,True,False,False,0.518
757,True,False,True,True,True,0.682
758,True,True,False,False,False,0.418
759,False,False,False,True,False,0.402
761,True,True,True,False,True,0.626
762,False,True,True,True,True,0.8029999999999999
763,True,False,False,True,False,0.515
764,True,False,True,True,True,0.802
765,True,False,False,True,False,0.5760000000000001
766,True,False,True,True,True,0.726
767,False,True,True,True,True,0.866
768,True,False,False,True,False,0.513
769,True,True,True,True,True,0.7859999999999999
770,False,True,False,False,False,0.124
771,True,False,True,False,False,0.447
773,True,False,True,True,True,0.7
774,False,False,True,False,False,0.391
775,True,True,False,True,False,0.53
776,False,False,False,False,False,0.08
777,True,False,False,False,False,0.293
778,False,False,True,False,False,0.298
779,True,False,True,False,False,0.505
780,False,True,False,True,True,0.639
781,True,False,False,False,False,0.256
782,True,False,True,True,True,0.865
783,True,False,False,False,False,0.19899999999999998
784,True,False,True,True,True,0.777
785,False,False,False,True,False,0.396
786,False,False,True,False,False,0.253
787,False,True,True,False,False,0.5
788,True,False,True,True,True,0.81
789,False,False,False,True,False,0.461
790,False,True,True,False,False,0.47600000000000003
791,True,False,True,False,False,0.377
792,False,True,False,False,False,0.23199999999999998
794,True,False,True,False,False,0.5870000000000001
796,True,False,False,True,True,0.635
797,False,True,False,False,False,0.306
798,False,False,False,True,False,0.436
799,True,False,False,False,False,0.259
800,True,True,True,True,True,0.843
801,True,False,False,False,False,0.27
802,True,False,True,True,True,0.738
803,True,True,True,True,True,0.986
804,False,False,False,True,False,0.375
805,False,True,False,False,False,0.122
806,True,True,True,False,False,0.45
807,True,False,True,False,False,0.49200000000000005
808,False,False,False,False,False,0.078
809,True,True,True,True,True,0.778
810,True,False,True,True,True,0.738
811,True,False,True,True,True,0.725
812,False,False,True,False,False,0.37
813,False,False,False,True,False,0.326
814,False,False,True,True,True,0.7759999999999999
815,True,False,True,True,True,0.754
816,False,True,False,False,False,0.308
817,True,True,False,True,False,0.561
818,False,False,False,False,False,0.226
820,True,False,True,True,True,0.706
821,True,True,False,True,False,0.556
822,False,False,False,True,False,0.33
823,True,False,False,True,True,0.677
824,False,True,False,False,False,0.113
825,True,False,True,True,True,0.727
826,False,True,False,False,False,0.27
827,False,True,True,True,True,0.71
828,False,False,True,False,False,0.335
829,False,True,True,True,True,0.631
830,False,False,True,False,False,0.327
831,True,False,True,False,False,0.517
832,True,False,True,True,True,0.917
833,False,True,True,True,True,0.703
835,True,False,False,True,False,0.588
836,False,False,True,False,False,0.474
837,True,False,True,False,False,0.41100000000000003
838,False,False,True,False,False,0.233
839,False,True,True,True,True,0.7509999999999999
840,True,False,False,True,False,0.52
842,True,False,False,True,True,0.628
843,False,True,False,True,False,0.473
844,True,True,True,True,True,0.983
845,False,False,True,False,False,0.358
846,True,False,True,True,True,0.772
847,True,False,False,False,False,0.35
848,False,False,True,False,False,0.36200000000000004
849,True,False,False,True,False,0.496
850,True,False,True,False,False,0.478
851,False,True,False,False,False,0.17300000000000001
852,True,True,False,False,False,0.28800000000000003
854,True,False,True,True,True,0.6809999999999999
855,True,True,False,True,True,0.66
856,False,True,False,False,False,0.184
857,True,True,True,True,True,0.8740000000000001
858,True,False,True,True,True,0.843
859,False,False,True,False,False,0.353
860,True,False,True,False,False,0.43
861,True,True,True,True,True,0.941
862,False,False,False,True,False,0.54
863,True,False,True,False,False,0.5429999999999999
864,True,False,True,True,True,0.9159999999999999
865,False,True,True,False,False,0.45399999999999996
866,False,False,False,False,False,0.23800000000000002
867,False,False,True,False,False,0.295
868,False,True,False,True,False,0.46399999999999997
869,True,True,True,False,False,0.589
870,True,True,False,True,True,0.6729999999999999
871,True,False,True,True,True,0.809
872,False,True,True,True,True,0.736
873,False,False,True,False,False,0.46
874,False,True,True,True,True,0.855
875,False,True,False,False,False,0.214
876,False,False,False,True,False,0.382
877,True,True,True,True,True,0.924
878,True,True,False,False,False,0.44799999999999995
879,True,False,False,True,False,0.552
880,True,False,True,True,True,0.795
881,False,True,False,False,False,0.124
883,False,True,False,True,False,0.557
884,True,False,True,True,True,0.71
885,False,True,False,False,False,0.209
886,True,True,True,True,True,0.9079999999999999
887,False,True,True,True,True,0.873
